spread,imb_bucket,Mid-Adjustment
8.0,8,73.52682782996717
9.0,0,-66.01130796236643
9.0,1,-55.495386337258225
9.0,2,-37.64329826828487
9.0,3,-19.983708995865463
9.0,4,1.226221527307594
9.0,5,23.232467109910218
9.0,6,39.962179643456096
9.0,7,59.72420542546488
9.0,8,69.30512899123343
10.0,0,-65.52892554362705
10.0,1,-54.892889736026184
10.0,2,-36.87641041029231
10.0,3,-19.303477568775865
10.0,4,1.4985018318600787
10.0,5,22.989346210458788
10.0,6,39.60891229563977
10.0,7,57.63148207067948
10.0,8,70.82564120436999
11.0,0,-66.01189003086417
11.0,1,-53.14200571909601
11.0,2,-36.151483643641754
11.0,3,-18.255001925339347
11.0,4,2.7822434146770414
11.0,5,23.036713644186204
11.0,6,41.04766646460538
11.0,7,57.84215563861634
11.0,8,75.26915818568291
12.0,0,-65.99040875005011
12.0,1,-53.4214129513923
12.0,2,-37.884173239093876
12.0,3,-20.14885826696937
12.0,4,0.9637729405574551
12.0,5,21.544180264722737
12.0,6,40.34312805359954
12.0,7,55.771450079864444
12.0,8,71.75013708354112
13.0,0,-65.71840375860066
13.0,1,-54.497862967952116
13.0,2,-36.679642469272544
13.0,3,-19.868942711372007
13.0,4,1.141475470358647
13.0,5,21.619649873587466
13.0,6,39.120580154717445
13.0,7,56.306376252051415
13.0,8,72.11409419669293
14.0,0,-66.55349997059558
14.0,1,-55.250689499764285
14.0,2,-39.002976399009505
14.0,3,-19.15159130445981
14.0,4,1.5458958638247393
14.0,5,23.900852010977648
14.0,6,41.015356588964494
14.0,7,56.85595798863146
14.0,8,70.47080199096933
15.0,0,-68.86902644040286
15.0,1,-55.65101139715095
15.0,2,-38.12205238368726
15.0,3,-18.79592925198269
15.0,4,2.9107375109102462
15.0,5,22.3024796526484
15.0,6,41.89381648803149
15.0,7,57.00058103335511
15.0,8,71.73476663155344
16.0,0,-66.65472555002736
16.0,1,-54.461683818818756
16.0,2,-36.11231277039102
16.0,3,-20.792198861680586
16.0,4,1.3197519399676332
16.0,5,22.7702875058598
16.0,6,41.67616161346979
16.0,7,58.231881212103445
16.0,8,71.9123751032844
17.0,0,-66.24627686621055
17.0,1,-56.06031106106703
17.0,2,-36.32501868375089
17.0,3,-19.426528762225992
17.0,4,0.9812453056273895
17.0,5,24.5837036009934
17.0,6,42.33691736799179
17.0,7,58.453286840137714
17.0,8,70.06660724778422
18.0,0,-67.90958405851818
18.0,1,-56.01804577590768
18.0,2,-37.69696727943126
18.0,3,-21.005040887111985
18.0,4,3.2781557596752924
18.0,5,23.584658247318043
18.0,6,41.1724400641819
18.0,7,57.264162344721576
18.0,8,69.18066658865496
19.0,0,-70.43701299748005
19.0,1,-54.168808153658375
19.0,2,-35.52490929393192
19.0,3,-20.493191550422225
19.0,4,1.1991318310802321
19.0,5,23.981507214544425
19.0,6,42.24968645844086
19.0,7,57.49609492015544
19.0,8,73.49207960851219
20.0,0,-63.92734171593783
20.0,1,-54.45558087671769
20.0,2,-36.70492353451433
20.0,3,-20.717763551710107
20.0,4,1.7205644538610907
20.0,5,25.82122201710505
20.0,6,42.55147012825388
20.0,7,59.481219035011875
20.0,8,68.6926965107066
21.0,0,-67.72357572377295
21.0,1,-55.50858351099281
21.0,2,-37.00267067557589
21.0,3,-21.509837723385097
21.0,4,2.132545193194637
21.0,5,23.215859862203146
21.0,6,41.922925803963324
21.0,7,57.513542831587934
21.0,8,68.39588930525132
22.0,0,-67.55842337404138
22.0,1,-54.62936614654022
22.0,2,-36.461368697457075
22.0,3,-18.929939214741587
22.0,4,1.0558080511286565
22.0,5,23.211360637330085
22.0,6,40.20920507428882
22.0,7,56.30100368562776
22.0,8,69.3551192892428
23.0,0,-65.77375792196568
23.0,1,-57.474101209992334
23.0,2,-38.69336863272519
23.0,3,-20.932838031210924
23.0,4,1.5411092223016807
23.0,5,23.78741281515842
23.0,6,42.90711492604818
23.0,7,54.756799977629264
23.0,8,68.99728538003514
24.0,0,-68.74167984257751
24.0,1,-55.73414016142418
24.0,2,-37.45547319066866
24.0,3,-19.778798702275765
24.0,4,1.685897251225787
24.0,5,23.290039614280456
24.0,6,41.50228873496937
24.0,7,58.741772184093264
24.0,8,73.05444134040542
25.0,0,-65.8671991940486
25.0,1,-54.43471052950326
25.0,2,-35.39883364731517
25.0,3,-17.986382602127318
25.0,4,2.396405727114191
25.0,5,21.33212372374075
25.0,6,37.77882517700929
25.0,7,54.66291042507533
25.0,8,70.54237380090451
